,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20
I look forward to work with the BCI,6,7,7,7,7,6,6,7,5,5,5,4,4,3,5,7,7,7,6,4
I think I can deal with the difficulties of the BCI,2,5,6,4,6,5,5,6,4,5,4,6,5,4,6,6,5,6,4,5
I do not think I will do well,5,3,3,4,1,7,2,5,2,3,3,6,4,2,3,3,3,2,4,2
I feel pressured to do well,2,1,3,5,2,2,1,7,1,2,2,2,2,1,1,1,2,2,5,2
BCI is a big challenge for me,4,3,4,2,1,7,1,3,3,3,4,4,3,4,3,5,4,2,3,3
I am very curious how I will perform,6,7,7,7,7,7,7,7,7,5,6,6,6,4,7,7,7,7,7,6
I dread that I can embaress myself,3,1,1,5,1,1,4,7,2,3,2,1,3,1,2,1,1,2,1,2
I am fully determined to give it my best,7,7,7,7,5,6,6,7,6,5,6,7,7,3,7,7,7,7,6,6
I don't need a reward for participating,6,1,7,7,5,7,7,4,4,4,6,7,7,7,7,7,7,7,5,6
It's embaressing for me to fail,1,1,1,4,1,1,2,7,5,2,1,2,2,1,3,1,2,3,4,2
I think everyone can control their brain activity,4,4,4,3,5,3,4,2,6,5,3,5,5,4,4,5,2,3,2,5
I think I won't be able to accomplish the BCI task today,4,3,2,3,1,2,1,3,3,1,4,4,3,3,3,2,3,2,5,2
"When I do well, I will be proud of my achievement ",6,5,6,6,7,5,5,7,7,4,6,7,4,2,7,7,7,5,5,4